date,open,high,low,latest
1990-05-14,2963.51,2988.81,2963.51,2976.44
1990-05-15,2978.0,2990.15,2960.7,2965.09
1990-05-16,2964.0,2964.05,2931.93,2948.89
1990-05-17,2948.0,2949.01,2906.74,2917.63
1990-05-18,2909.33,2941.54,2909.33,2925.89
1990-05-21,2925.04,2938.47,2925.04,2930.83
1990-05-22,2925.4,2971.58,2925.4,2970.87
1990-05-23,2970.87,3034.6,2970.87,3028.31
1990-05-24,3028.31,3054.15,3028.31,3048.01
1990-05-25,3049.0,3068.68,3037.1,3059.5
1990-05-29,3059.0,3059.5,3024.61,3048.55
1990-05-30,3048.48,3087.16,3048.48,3083.35
1990-05-31,3084.2,3137.69,3084.2,3132.32
1990-06-01,3139.57,3166.72,3139.57,3159.17
1990-06-04,3159.0,3200.33,3150.57,3153.22
1990-06-05,3153.0,3179.0,3152.69,3159.06
1990-06-06,3159.0,3172.49,3138.88,3172.49
1990-06-07,3172.0,3172.49,3143.91,3145.3
1990-06-08,3144.0,3179.44,3136.23,3174.33
1990-06-11,3174.0,3174.33,3148.81,3154.99
1990-06-12,3157.93,3207.54,3157.93,3203.0
1990-06-13,3203.0,3226.92,3184.61,3185.14
1990-06-14,3185.0,3199.39,3180.38,3191.55
1990-06-15,3189.0,3205.29,3176.08,3201.52
1990-06-19,3200.0,3229.33,3185.21,3229.02
1990-06-20,3229.0,3250.04,3214.71,3234.39
1990-06-21,3234.0,3259.47,3230.45,3246.21
1990-06-22,3246.0,3253.17,3226.69,3250.44
1990-06-25,3250.0,3276.47,3246.63,3276.44
1990-06-26,3278.15,3305.28,3278.15,3292.35
1990-06-27,3292.0,3293.5,3258.98,3284.47
1990-06-28,3284.0,3284.47,3266.5,3273.28
1990-06-29,3272.0,3281.12,3255.94,3278.24
1990-07-02,3278.24,3323.44,3278.24,3319.47
1990-07-03,3319.47,3365.54,3319.47,3356.55
1990-07-04,3356.0,3366.7,3338.31,3363.49
1990-07-05,3363.0,3369.98,3338.31,3356.44
1990-07-06,3345.0,3360.95,3325.74,3357.61
1990-07-09,3359.89,3389.17,3359.89,3385.15
1990-07-10,3385.0,3413.36,3378.46,3408.16
1990-07-11,3407.94,3450.11,3407.94,3440.93
1990-07-12,3448.0,3472.44,3443.85,3468.59
1990-07-13,3468.59,3515.73,3468.59,3507.16
1990-07-16,3507.0,3513.48,3468.66,3488.85
1990-07-17,3488.0,3490.94,3463.94,3463.94
1990-07-18,3463.94,3529.34,3463.94,3528.29
1990-07-19,3528.0,3530.09,3515.51,3523.58
1990-07-20,3523.0,3542.88,3504.69,3540.43
1990-07-23,3540.0,3559.89,3528.55,3559.89
1990-07-24,3541.0,3541.8,3479.89,3495.87
1990-07-25,3497.0,3535.44,3495.87,3520.54
1990-07-26,3520.0,3521.36,3474.64,3483.59
1990-07-27,3479.0,3492.11,3443.61,3485.8
1990-07-30,3481.0,3481.88,3444.74,3445.41
1990-07-31,3445.0,3456.45,3429.07,3438.49
1990-08-01,3438.0,3488.7,3437.95,3468.64
1990-08-02,3468.0,3479.48,3397.35,3415.18
1990-08-03,3410.0,3410.97,3341.79,3356.95
1990-08-06,3346.0,3346.72,3107.98,3107.98
